Name,Country,Sector,Company
Allan Apoj Pascal y David Poritz,México,Fintech,Covalto
Angel Sahagún,México,Fintech,Albo
Aron Schwarzkopf,Ecuador,Fintech,Kushki
Bárbara Garza Suess,México,Fintech,
Bárbara González,México,Fintech,Bitso
Carlos Guayara,Colombia,Fintech,Trii
Claudia Woods,Brasil,Proptech,WeWork
Cristina Cacho,México,Fintech,Clara
Cristina Junqueira,Brasil,Fintech,Nubank
Daniel Bonifaz y Paulo Valdiviezo,Perú,Fintech,Kambista
David Arana Ley,México,Fintech,Konfío
Diego Olcese,Perú,Edtech,Crehana
Fabricio Bloisi,Brasil,Foodtech,iFood
Freddy Vega y Christian Van der Henst,Colombia,Edtech,Platzi
Gabriel Medina,Brasil,Fintech,Kauai
Henrique Dubugras y Pedro Franceschi,Brasil,Fintech,Brex
"Jerónimo y Tomás Uribe, Santiago García y Rodrigo Sánchez-Ríos",Colombia,Proptech,La Haus
Luis Madrazo Lajous,México,Fintech,Ualá
Marcos Leta,Brasil,Agtech,Fazenda Futuro
Maria Fuentes,Brasil,Fintech,Pride Bank
Marlene Garayzar Gómez,México,Fintech,Stori
María Teresa Arnal,México,Fintech,Stripe
Miriam Cosío y Adolfo Babatz,México,Fintech,Clip
Monique Evelle,Brasil,Fintech,Nubank
Monique Oliveira,Brasil,Foodtech,Movile/iFood
Pierpaolo Barbieri,Argentina,Fintech,Ualá
Reinaldo Rabelo,Brasil,Fintech,Mercado Bitcoin
Sebastián Noguera y Brynne McNulty Rojas,Colombia,Proptech,Habi
Thiaguinho,Brasil,Insurtech,Insurtech Azos e Paz & Bem
Vicente Fenoll,México,Fintech,Kubo Financiero
